sci_name,nocturnal
Strix woodfordii,1
Caprimulgus climacurus,1
Bubo africanus,1
Otus senegalensis,1
Bubo lacteus,1
Caprimulgus poliocephalus,1
Caprimulgus tristigma,1
Caprimulgus pectoralis,1
Tyto alba,1
Caprimulgus affinis,1
Caprimulgus manillensis,1
Otus lettia,1
Glaucidium cuculoides,1
Strix aluco,1
Otus scops,1
Athene noctua,1
Bubo bubo,1
Caprimulgus europaeus,1
Asio otus,1
Aegolius funereus,1
Glaucidium passerinum,1
Strix uralensis,1
Ninox connivens,1
Phalaenoptilus nuttallii,1
Strix nebulosa,1
Bubo virginianus,1
Megascops kennicottii,1
Chordeiles acutipennis,1
Athene cunicularia,1
Chordeiles minor,1
Megascops asio,1
Aegolius acadicus,1
Glaucidium gnoma,1
Strix occidentalis,1
Micrathene whitneyi,1
Megascops trichopsis,1
Strix varia,1
Chordeiles gundlachii,1
Glaucidium siju,1
Megascops choliba,1
Nyctibius griseus,1
Lurocalis semitorquatus,1
Glaucidium brasilianum,1
Nyctidromus albicollis,1
Tyto novaehollandiae,1
Caprimulgus madagascariensis,1
Ninox boobook,1
Megascops cooperi,1
Nyctibius jamaicensis,1
Ninox strenua,1
Podargus strigoides,1
Eurostopodus mystacalis,1
Aegotheles cristatus,1
Caprimulgus macrurus,1
Ninox novaeseelandiae,1
Glaucidium nubicola,1
Tyto tenebricosa,1
Glaucidium peruanum,1
Megascops atricapilla,1
Nyctiphrynus ocellatus,1
Strix hylophila,1
Pulsatrix koeniswaldiana,1
Psiloscops flammeolus,1
Antrostomus carolinensis,1
Antrostomus vociferus,1
Systellura longirostris,1
Ciccaba virgata,1
Asio clamator,1
Strix nivicolum,1
Antrostomus arizonae,1
Caprimulgus nigriscapularis,1
